2090	1488	0
2068	1466	0
2034	1434	0
2018	1428	0
1998	1428	0
1988	1448	0
1978	1462	0
1968	1456	0
1952	1458	0
1944	1456	0
1926	1466	0
1920	1450	0
1900	1432	0
1896	1416	0
1880	1416	0
1862	1398	0
1848	1406	0
1848	1420	0
1816	1398	0
1816	1386	0
1820	1376	0
1804	1368	0
1798	1348	0
1808	1336	0
1796	1318	0
1768	1312	0
1752	1290	0
1704	1246	0
1662	1224	0
1664	1190	0
1674	1172	0
1654	1146	0
1630	1144	0
1562	1096	0
1544	1092	0
1540	1080	0
1544	1060	0
1536	1018	0
1536	1010	0
1578	1010	0
1622	978	0
1624	960	0
1598	928	0
1582	902	0
1552	872	0
1530	866	0
1488	786	0
1432	730	0
1364	698	0
1324	622	0
1350	582	0
1348	568	0
1280	538	0
1272	530	0
1274	498	0
1234	434	0
1218	428	0
1184	420	0
1134	290	0
1144	258	0
1142	240	0
1130	228	0
1110	238	0
1100	236	0
1092	192	0
1096	178	0
1096	168	0
1068	168	0
1064	160	0
1072	154	0
1084	150	0
1082	138	0
1064	128	0
1042	96	0
