37.383340000	-122.192040000	114.1	
37.384710000	-122.189590000	116.6	
37.384770000	-122.189200000	116.1	
37.384710000	-122.187940000	115.6	
37.384600000	-122.187680000	116.3	
37.383940000	-122.186680000	121.4	
37.382570000	-122.185350000	128.7	
37.382180000	-122.184730000	130.5	
37.382010000	-122.184610000	131.8	
37.381430000	-122.184490000	135.0	
37.381140000	-122.184250000	135.8	
37.381030000	-122.183970000	137.8	
37.380980000	-122.183630000	137.8	
37.380970000	-122.182890000	138.4	
37.381020000	-122.182460000	138.6	
37.381200000	-122.182050000	136.5	
37.381490000	-122.181830000	132.4	
37.382620000	-122.181530000	125.3	
37.383370000	-122.181200000	119.8	
37.384210000	-122.181070000	113.4	
37.384650000	-122.180890000	112.9	
37.385310000	-122.180360000	110.9	
37.385770000	-122.179710000	107.2	
37.386540000	-122.178880000	102.2	
37.386690000	-122.178640000	101.4	
37.386760000	-122.178420000	101.0	
37.387060000	-122.176560000	101.6	
37.387050000	-122.176100000	98.1	
37.386900000	-122.174760000	93.3
