37.470030000	-122.354670000	466.1	
37.470480000	-122.355170000	469.2	
37.471970000	-122.356310000	460.7	
37.472560000	-122.356690000	455.7	
37.474800000	-122.357720000	435.8	
37.479310000	-122.359680000	411.1	
37.480290000	-122.359810000	403.9	
37.481220000	-122.359690000	397.5	
37.481910000	-122.359420000	396.0	
37.482980000	-122.358770000	391.4	
37.483270000	-122.358660000	388.7	
37.483480000	-122.358640000	387.1	
37.483830000	-122.358720000	385.4	
37.484130000	-122.358860000	383.4	
37.484970000	-122.359790000	376.2	
37.485100000	-122.359970000	374.4	
37.485180000	-122.360200000	371.6	
37.485150000	-122.360580000	372.1	
37.485000000	-122.360910000	371.6	
37.484410000	-122.361850000	370.3	
37.484250000	-122.362230000	363.9	
37.484290000	-122.362650000	361.2	
37.484360000	-122.362810000	359.7	
37.484520000	-122.362960000	358.1	
37.484840000	-122.363080000	358.6	
37.486020000	-122.363220000	349.2	
37.487960000	-122.363870000	334.9	
37.488180000	-122.363900000	334.6	
37.488330000	-122.363880000	334.1	
37.488550000	-122.363750000	333.0	
37.488870000	-122.363280000	328.3	
37.489050000	-122.363100000	327.1	
37.489310000	-122.363010000	327.9	
37.489580000	-122.363080000	324.2	
37.489820000	-122.363310000	321.6	
37.489940000	-122.363610000	320.8	
37.489900000	-122.365750000	309.6	
37.489960000	-122.366060000	306.5	
37.490100000	-122.366280000	304.5	
37.490440000	-122.366440000	306.3	
37.490630000	-122.366400000	305.0	
37.490750000	-122.366320000	303.3	
37.490850000	-122.366210000	301.8	
37.490970000	-122.365940000	299.0	
37.491050000	-122.365140000	296.7	
37.491160000	-122.364830000	293.3	
37.491300000	-122.364670000	291.5	
37.491510000	-122.364540000	288.6	
37.491760000	-122.364490000	289.2	
37.491970000	-122.364540000	288.0	
37.492130000	-122.364650000	286.3	
37.492230000	-122.364800000	285.7	
37.492810000	-122.366170000	275.4	
37.493210000	-122.366830000	272.5	
37.494540000	-122.368180000	267.5	
37.494910000	-122.368510000	266.6	
37.495430000	-122.368820000	263.6	
