487	441
480	454
471	468
465	486
456	505
450	522
444	540
436	556
429	573
418	601
411	616
403	633
402	649
402	658
402	682
402	702
403	727
403	745
402	763
403	786
405	817
405	835
408	853
420	865
433	873
447	873
460	871
469	859
480	850
486	837
486	828
480	810
474	796
469	783
466	769
463	745
462	729
462	702
468	685
466	658
472	637
475	621
480	606
490	598
508	588
525	589
543	594
553	597
573	600
594	606
618	612
642	618
664	624
684	627
708	633
727	637
741	646
754	657
762	670
768	697
769	733
769	757
774	786
774	802
775	822
777	846
772	859
769	882
763	901
760	918
760	933
753	943
748	966
742	987
736	1012
727	1036
721	1057
715	1086
708	1111
715	1128
732	1147
745	1156
765	1162
784	1162
802	1165
817	1162
834	1159
852	1155
870	1153
894	1150
912	1147
933	1144
949	1141
972	1138
990	1135
1012	1131
1035	1126
1074	1122
1092	1119
1110	1116
1122	1110
1126	1105
1134	1095
1143	1080
1152	1062
1159	1045
1167	1030
1176	1015
1182	981
1188	955
1188	933
1189	901
1192	865
1192	841
1194	807
1197	775
1195	744
1195	709
1200	685
1206	663
1212	639
1218	619
1218	607
1207	594
1201	591
1183	588
1165	583
1161	564
1155	538
1150	517
1150	495
1152	462
1152	433
1141	405
1128	385
1113	373
1099	364
1078	361
1059	361
1039	366
1014	376
996	379
960	391
931	397
906	408
873	418
858	415
840	411
826	397
817	379
808	355
804	348
793	331
784	318
772	298
768	286
762	274
751	256
745	241
733	222
726	204
715	187
706	174
697	166
690	171
678	175
667	186
654	210
640	228
624	253
607	273
594	291
583	307
570	322
559	337
543	361
528	381
516	397
502	418
493	432
481	451
474	465
