168	1476	0
208	1444	0
240	1432	0
280	1424	0
316	1396	0
364	1364	0
412	1324	0
452	1296	0
500	1264	0
544	1228	0
596	1204	0
640	1168	0
684	1132	0
716	1112	0
736	1096	0
764	1092	0
800	1080	0
848	1084	0
880	1088	0
896	1088	0
944	1092	0
992	1092	0
1040	1092	0
1068	1096	0
1112	1132	0
1152	1164	0
1176	1184	0
1204	1204	0
1248	1236	0
1280	1276	0
1296	1300	0
1336	1332	0
1372	1400	0
1388	1420	0
1416	1452	0
1440	1492	0
1476	1536	0
1504	1588	0
1544	1612	0
1568	1624	0
1608	1644	0
1632	1660	0
1648	1680	0
1656	1716	0
1660	1748	0
1660	1780	0
1668	1828	0
1688	1868	0
1720	1896	0
1748	1916	0
1776	1916	0
1808	1924	0
1860	1924	0
1900	1924	0
1952	1920	0
2016	1920	0
2048	1916	0
2084	1900	0
2108	1872	0
2132	1844	0
2144	1816	0
2160	1776	0
2176	1720	0
2180	1684	0
2208	1636	0
2208	1580	0
2232	1536	0
2240	1484	0
2272	1444	0
2280	1424	0
2296	1388	0
2308	1364	0
2316	1332	0
2320	1288	0
2320	1248	0
2320	1208	0
2328	1180	0
2336	1148	0
2360	1120	0
2388	1084	0
2404	1044	0
2428	1008	0
2452	980	0
2496	940	0
2528	908	0
2560	880	0
2592	868	0
2640	832	0
2680	800	0
2704	768	0
2740	728	0
2776	692	0
2808	656	0
2832	628	0
2868	604	0
2892	580	0
2908	572	0
2944	556	0
2984	556	0
3024	544	0
3072	536	0
3112	524	0
3148	516	0
3176	512	0
3208	504	0
3244	500	0
3264	500	0
3312	492	0
3336	484	0
3360	480	0
3388	480	0
3420	480	0
3448	484	0
3472	492	0
3492	492	0
3528	504	0
3552	504	0
3580	520	0
3600	520	0
3636	532	0
3652	536	0
3688	544	0
3692	524	0
3708	504	0
3716	480	0
3724	452	0
3744	432	0
